City,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Windspeed,Country
avera,1,1610981478,53,33.194,-82.5271,44.6,10.36,US
krivosheino,95,1610981694,94,57.3431,83.9261,7.23,10.94,RU
samarai,99,1610981406,76,-10.6167,150.6667,85.08,14.99,PG
sal rei,100,1610981695,50,16.1833,-22.9167,77.0,17.27,CV
banda aceh,94,1610981501,79,5.5577,95.3222,78.44,10.98,ID
constitucion,0,1610981452,44,-35.3333,-72.4167,72.34,5.55,CL
flin flon,90,1610981417,84,54.7682,-101.865,-13.0,6.91,CA
panaba,24,1610981695,65,21.2833,-88.2667,70.54,9.15,MX
mahajanga,20,1610981447,74,-15.7167,46.3167,86.0,13.8,MG
poum,54,1610981695,79,-20.2333,164.0167,82.22,9.22,NC
talnakh,100,1610981375,90,69.4865,88.3972,-7.01,1.52,RU
tynda,5,1610981695,75,55.1667,124.7167,-42.59,1.95,RU
dossor,100,1610981696,98,47.5272,52.9811,29.79,14.52,KZ
omsukchan,100,1610981696,80,62.5333,155.8,-36.35,6.69,RU
grants,1,1610981696,48,35.1473,-107.8514,15.8,9.22,US
guarapari,40,1610981475,62,-20.6667,-40.4975,87.01,10.36,BR
zelenets,20,1610981696,84,61.8849,50.7489,-13.0,2.89,RU
leshukonskoye,100,1610981697,92,64.8989,45.7622,-1.44,8.77,RU
paamiut,100,1610981438,84,61.994,-49.6678,27.99,5.26,GL
waipawa,75,1610981447,82,-41.4122,175.5153,63.0,17.27,NZ
